# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-01-08 at 08:29:49
#
# Requested input R.A. = 217.36365 degrees
# Requested input Dec. = 52.647076 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461049.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 792 1 1 ZTF_r 443304320115 0 2.9993 123.022 6.62478 25.7889 2.01097e-05 0.0328368 0.0828104 2.89811e-05 336 30. 0.063103 0.069993 19.6702 25.7889 2 2458197.8043287 792120201 1 -87.7616355961735 34.8477166086567 -2.80146488591877 1.02771292209261 -27.4332139998625 59.0907070949616 -0.467382768497517 1.03424781723987 0.174452414040503 17.3079999923706 0.0140000004321337 0.449999988079071 0.0109999999403954 2458182.927928 2458218.944664 0
 1 792 1 1 ZTF_r 444369970115 0 1.8126 165.299 5.70334 26.0998 1.73639e-05 0.0312522 0.100263 2.48922e-05 352 30. 0.048743 0.045858 20.4538 26.0998 2 2458198.8699769 792120201 1 -48.0068231142664 24.380006404141 -2.19040263332964 1.12207642613385 -35.6763375912158 47.6146477831828 -0.75431871177703 1.03292021674567 0.174452414040503 17.3079999923706 0.0140000004321337 0.449999988079071 0.0109999999403954 2458182.927928 2458218.944664 0
 2 792 1 1 ZTF_r 444381410115 0 1.8501 130.038 6.72308 25.8439 1.93819e-05 0.0329174 0.0938165 2.7716e-05 350 30. 0.049151 0.046224 20.0119 25.8439 2 2458198.881412 792120201 1 -11.863210179871 29.8754936735217 -0.441714784339544 1.02722273744102 -53.1857135766569 58.5377076884647 -0.914691137251042 1.03169596493465 0.174452414040503 17.3079999923706 0.0140000004321337 0.449999988079071 0.0109999999403954 2458182.927928 2458218.944664 0
 3 792 1 1 ZTF_r 444410080115 0 1.7485 182.679 5.17172 26.2165 9.6765e-06 0.0230729 0.0866014 1.37805e-05 349 30. 0.051608 0.043773 20.7016 26.2165 2 2458198.910081 792120201 1 -59.2626607166314 21.1699648138517 -3.11397994331084 1.24271295174778 5.72902295954525 42.3569341939272 0.136166801695093 1.02773482024641 0.174452414040503 17.3079999923706 0.0140000004321337 0.449999988079071 0.0109999999403954 2458182.927928 2458218.944664 0
 4 792 1 1 ZTF_r 445341970115 33554432 2.2203 40.4362 6.42338 24.5658 6.80059e-05 0.0574592 0.0872892 9.94376e-05 310 30. 0.051373 0.057855 18.6332 24.5658 2 2458199.8419792 792120201 1 -39.4763840256062 29.1911885376794 -1.50432055003834 1.0213532298298 -29.9140942535195 53.382450226526 -0.564147341900335 1.03959340285228 0.174452414040503 17.3079999923706 0.0140000004321337 0.449999988079071 0.0109999999403954 2458182.927928 2458218.944664 0
 5 792 1 1 ZTF_g 448307810115 0 2.7686 239.276 6.61115 26.2521 2.27348e-05 0.0359704 -0.0663355 3.52254e-05 336 30. 0.055962 0.057197 20.1361 26.2521 2 2458202.8078125 792120101 1 -25.0799574584237 39.2219222528859 -0.711299858184807 0.946200792689764 -79.8307130471986 62.2130696950601 -1.29182465817156 1.06615070353584 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 6 792 1 1 ZTF_g 448343020115 0 2.1304 242.279 6.01339 26.2595 1.56669e-05 0.0300638 -0.0616306 2.32702e-05 351 30. 0.045959 0.045658 20.5681 26.2595 1 2458202.8430208 792120101 1 -69.2804230992342 25.0150949200973 -3.08079767038088 1.00402751325302 16.4605794746741 45.4934790644849 0.364259730521042 1.04539760312664 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 7 792 1 1 ZTF_g 448348880115 0 2.1737 242.059 5.92966 26.2566 1.47709e-05 0.0293744 -0.0568948 2.20571e-05 352 30. 0.050518 0.050603 20.5366 26.2566 2 2458202.8488889 792120101 1 -64.5880631776334 25.3137128549161 -2.83825370285183 1.05993188827919 -30.0181165710123 44.9411232979919 -0.672441810428847 1.04801729400342 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 8 792 1 1 ZTF_g 448365570115 0 2.1879 244.168 5.39376 26.2611 1.20813e-05 0.0262966 -0.0583103 1.76126e-05 354 30. 0.048583 0.047818 20.6625 26.2611 2 2458202.8655787 792120101 1 -39.9227286939532 21.0551869513241 -2.10919103424315 1.12232546950127 -26.4681013693561 38.2649304258093 -0.69636519022509 1.04424736141936 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 9 792 1 1 ZTF_g 449346800115 0 2.8558 241.702 7.15667 26.2739 2.29021e-05 0.0355724 -0.0726628 3.66506e-05 330 30. 0.052495 0.05849 20.0651 26.2739 2 2458203.8468056 792120101 1 -59.7284382714132 37.7130059474202 -1.7617521526563 0.944089799263098 -51.6729897604478 60.7130353705172 -0.856834286113571 1.05049083336584 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 10 792 1 1 ZTF_g 449362330115 0 3.1128 239.408 7.01976 26.253 2.40529e-05 0.0362194 -0.0754956 3.90165e-05 318 30. 0.050362 0.062492 19.9879 26.253 2 2458203.862338 792120101 1 42.378849818426 37.7665336062414 1.2482363962597 1.0117658398743 -14.5282959488774 58.2915788366907 -0.25091351357893 1.05560374025829 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 11 792 1 1 ZTF_g 449387000115 0 2.065 242.545 6.63356 26.2412 1.62915e-05 0.0304257 -0.042181 2.44006e-05 347 30. 0.04562 0.050896 20.4718 26.2412 2 2458203.8870023 792120101 1 -43.6828274375615 26.7886929048751 -1.81390283004449 1.0793928263914 -113.454671407169 47.6938929537335 -2.39483061819887 1.05308876541037 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 12 792 1 1 ZTF_g 449407960115 0 2.1741 245.942 5.9744 26.2569 1.4954e-05 0.0291033 -0.0350208 2.20991e-05 351 30. 0.050696 0.049342 20.5587 26.2569 2 2458203.907963 792120101 1 -1.58673439008783 25.0965077428082 -0.0703308301048824 1.11770972964224 9.84445859418637 43.0774169541942 0.230068613439769 1.05630546394411 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 13 792 1 1 ZTF_g 450305480115 0 4.2597 238.941 8.86244 26.2714 4.67239e-05 0.0446096 -0.0858873 8.83924e-05 237 30. 0.069583 0.078051 19.4173 26.2714 2 2458204.8054861 792120101 1 -18.3497704940482 67.2065015696847 -0.303720529993069 0.974850000119193 38.6435363284745 86.27671099676 0.450918936518803 1.10351726413065 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 14 792 1 1 ZTF_g 450325750115 0 3.6071 240.886 8.77614 26.2825 2.89045e-05 0.0385116 -0.0800399 5.11435e-05 287 30. 0.063107 0.071409 19.6167 26.2825 2 2458204.8257523 792120101 1 94.6599962378467 54.0787455208888 1.94712877706005 1.02938703974827 131.221587400912 77.8571952668139 1.69676510808229 1.0563582943782 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 15 792 1 1 ZTF_g 450338040115 0 4.0728 240.05 8.71535 26.2768 3.21795e-05 0.0380858 -0.0684256 6.22195e-05 245 30. 0.073491 0.079848 19.4754 26.2768 2 2458204.838044 792120101 1 33.1374456386956 60.5503353172772 0.608775655310835 1.02897623848304 -9.27289587136098 77.9362347829252 -0.119781888162437 1.10381310601966 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 16 792 1 1 ZTF_g 450359940115 0 3.2811 242.539 8.45791 26.2761 3.11347e-05 0.0399804 -0.0732098 5.34592e-05 296 30. 0.059161 0.067978 19.7332 26.2761 2 2458204.8599421 792120101 1 66.4791298727799 48.0309996613782 1.53963757628433 1.02950239861969 91.9906769923206 71.6843283101997 1.29191751778418 1.05558176773591 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 17 792 1 1 ZTF_g 450392650115 0 2.9696 245.384 8.20659 26.2747 2.82973e-05 0.0384463 -0.0674027 4.64476e-05 313 30. 0.057323 0.065218 19.8402 26.2747 2 2458204.8926505 792120101 1 1.88931935036719 43.5689328346913 0.048237328902715 1.05405388934379 44.2861457365437 67.9711495093394 0.655931462067633 1.04884859566759 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 18 792 1 1 ZTF_g 450397980115 0 2.9953 245.698 8.14775 26.2811 2.783e-05 0.0382926 -0.079409 4.64078e-05 311 30. 0.062406 0.061009 19.845 26.2811 2 2458204.8979861 792120101 1 89.5856830896413 46.6605115880148 2.13571803232709 1.02816714728165 67.0596336383039 71.631885521925 0.942475318599061 1.04998307317551 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 19 792 1 1 ZTF_g 451338930115 0 2.4186 210.541 11.7776 26.118 2.77417e-05 0.0370375 -0.0546454 4.83637e-05 287 30. 0.054824 0.058064 19.4325 26.118 2 2458205.8389352 792120101 1 -33.7258710915284 52.9387259921767 -0.708670722985111 0.966333901072033 -163.822280201676 91.3127040727179 -1.80616305648986 1.03988322041966 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 20 792 1 1 ZTF_g 451350450115 0 2.7488 184.792 12.5703 25.9706 5.00076e-05 0.0462841 -0.0436874 9.77339e-05 234 30. 0.056717 0.056863 19.1122 25.9706 1 2458205.8504514 792120101 1 175.605098171747 67.4745528255761 2.89502225244782 0.99494984159014 175.048448981019 107.096860910254 1.64549557156469 1.0536424767307 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 21 792 1 1 ZTF_g 451359790115 0 2.6383 182.158 13.0429 25.9764 3.94727e-05 0.0396467 -0.0526474 7.65193e-05 226 30. 0.05875 0.056993 19.1195 25.9764 2 2458205.8597917 792120101 1 -104.34300132804 65.9226693378147 -1.76069179853188 1.04032537953812 -120.732117074323 106.444469781421 -1.14186537899731 1.05725626466383 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
 22 792 1 1 ZTF_g 451360710115 0 2.5407 191.798 12.464 26.0183 3.66392e-05 0.0400062 -0.0548225 6.80097e-05 247 30. 0.057465 0.05587 19.2457 26.0183 1 2458205.8607176 792120101 1 -157.905741335204 55.811091345142 -3.14725699235201 1.0947079217075 -145.251470983282 93.2579911361655 -1.56801305942646 1.05081278449542 0.18187314751884 17.5039999008179 0.00999999977648258 0.236000001430511 -0.00300000002607703 2458202.807812 2458227.849491 0
