index,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,nearestrefflux,nearestreffluxunc,Fluxtot,Fluxunctot,SNRtot,mag_abs,mag_abs_unc,mag_upperlim
0,792,1,1,ZTF_r,443304320115,0,2.9993,123.022,6.62478,25.7889,2.01097e-05,0.0328368,0.0828104,2.89811e-05,336,30.0,0.063103,0.069993,19.6702,25.7889,2,2458197.8043287,792120201,1,-87.7616355961735,34.8477166086567,-2.80146488591877,1.02771292209261,-27.4332139998625,59.0907070949616,-0.467382768497517,1.03424781723987,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,-38.859462275137105,2468.084377601428,31.825718295074537,2429.224915326291,14.194611929876968,171.13711366868952,17.32523068297171,0.006344035941273649,
1,792,1,1,ZTF_r,444369970115,0,1.8126,165.299,5.70334,26.0998,1.73639e-05,0.0312522,0.100263,2.48922e-05,352,30.0,0.048743,0.045858,20.4538,26.0998,2,2458198.8699769,792120201,1,-48.0068231142664,24.380006404141,-2.19040263332964,1.12207642613385,-35.6763375912158,47.6146477831828,-0.75431871177703,1.03292021674567,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,0.8953502067699972,3286.396830356529,42.37778119660516,3287.292180563299,48.89029608637381,67.23813197522236,17.307704233280134,0.016147087494936457,
2,792,1,1,ZTF_r,444381410115,0,1.8501,130.038,6.72308,25.8439,1.93819e-05,0.0329174,0.0938165,2.7716e-05,350,30.0,0.049151,0.046224,20.0119,25.8439,2,2458198.881412,792120201,1,-11.863210179871,29.8754936735217,-0.441714784339544,1.02722273744102,-53.1857135766569,58.5377076884647,-0.914691137251042,1.03169596493465,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,37.0389631411654,2596.33066661542,33.479442253456625,2633.3696297565853,44.871128533157844,58.68739467541223,17.29262044348347,0.01849971371202932,
3,792,1,1,ZTF_r,444410080115,0,1.7485,182.679,5.17172,26.2165,9.6765e-06,0.0230729,0.0866014,1.37805e-05,349,30.0,0.051608,0.043773,20.7016,26.2165,2,2458198.910081,792120201,1,-59.2626607166314,21.1699648138517,-3.11397994331084,1.24271295174778,5.72902295954525,42.3569341939272,0.136166801695093,1.02773482024641,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,-10.360487395595001,3659.316745467268,47.186548786824936,3648.956258071673,51.71786728618195,70.55504121776897,17.31107835679252,0.015387986191503654,
4,792,1,1,ZTF_r,445341970115,33554432,2.2203,40.4362,6.42338,24.5658,6.80059e-05,0.0574592,0.0872892,9.94376e-05,310,30.0,0.051373,0.057855,18.6332,24.5658,2,2458199.8419792,792120201,1,-39.4763840256062,29.1911885376794,-1.50432055003834,1.0213532298298,-29.9140942535195,53.382450226526,-0.564147341900335,1.03959340285228,0.174452414040503,17.3079999923706,0.0140000004321337,0.449999988079071,0.0109999999403954,2458182.927928,2458218.944664,0,-48.9021733210364,9.4257892954302,800.0552935362778,10.316638532963749,809.4810828317079,27.307370023905868,29.643319079173814,17.295283240092452,0.03662545334752236,
5,792,1,1,ZTF_g,448307810115,0,2.7686,239.276,6.61115,26.2521,2.27348e-05,0.0359704,-0.0663355,3.52254e-05,336,30.0,0.055962,0.057197,20.1361,26.2521,2,2458202.8078125,792120101,1,-25.0799574584237,39.2219222528859,-0.711299858184807,0.946200792689764,-79.8307130471986,62.2130696950601,-1.29182465817156,1.06615070353584,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,24.175479929933296,3156.7489135724277,29.07570086592581,3180.924393502361,26.324186680059604,120.83656874808177,17.49571663348351,0.008984862870969557,
6,792,1,1,ZTF_g,448343020115,0,2.1304,242.279,6.01339,26.2595,1.56669e-05,0.0300638,-0.0616306,2.32702e-05,351,30.0,0.045959,0.045658,20.5681,26.2595,1,2458202.8430208,792120101,1,-69.2804230992342,25.0150949200973,-3.08079767038088,1.00402751325302,16.4605794746741,45.4934790644849,0.364259730521042,1.04539760312664,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,-20.024985710877203,3178.3377024876445,29.274547586315137,3158.3127167767675,38.50654632974641,82.02015028122536,17.510862177549257,0.013236991108616878,
7,792,1,1,ZTF_g,448348880115,0,2.1737,242.059,5.92966,26.2566,1.47709e-05,0.0293744,-0.0568948,2.20571e-05,352,30.0,0.050518,0.050603,20.5366,26.2566,2,2458202.8488889,792120101,1,-64.5880631776334,25.3137128549161,-2.83825370285183,1.05993188827919,-30.0181165710123,44.9411232979919,-0.672441810428847,1.04801729400342,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,-15.332625789276406,3169.8596940063053,29.196459640364687,3154.527068217029,38.64217015169553,81.63431442471963,17.509264354171023,0.013299554331422669,
8,792,1,1,ZTF_g,448365570115,0,2.1879,244.168,5.39376,26.2611,1.20813e-05,0.0262966,-0.0583103,1.76126e-05,354,30.0,0.048583,0.047818,20.6625,26.2611,2,2458202.8655787,792120101,1,-39.9227286939532,21.0551869513241,-2.10919103424315,1.12232546950127,-26.4681013693561,38.2649304258093,-0.69636519022509,1.04424736141936,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,9.332708694403799,3183.0249268430453,29.317719956681106,3192.357635537449,36.09500797913177,88.44318963395442,17.500821152921045,0.012275676674410515,
9,792,1,1,ZTF_g,449346800115,0,2.8558,241.702,7.15667,26.2739,2.29021e-05,0.0355724,-0.0726628,3.66506e-05,330,30.0,0.052495,0.05849,20.0651,26.2739,2,2458203.8468056,792120101,1,-59.7284382714132,37.7130059474202,-1.7617521526563,0.944089799263098,-51.6729897604478,60.7130353705172,-0.856834286113571,1.05049083336584,0.18187314751884,17.5039999008179,0.0099999997764825,0.236000001430511,-0.003000000026077,2458202.807812,2458227.849491,0,-49.255437388356995,-10.473000883056201,3220.7724277637917,29.665398874218397,3210.2994268807356,23.28593840118266,137.86429267191093,17.507536146887034,0.007875135605879805,
