# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-01-08 at 08:38:35
#
# Requested input R.A. = 245.13714087266763 degrees
# Requested input Dec. = 44.380411703728996 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461049.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 761 2 3 ZTF_r 444392730715 0 1.8369 141.25 5.84904 26.2193 3.2121e-06 0.0191534 0.0859224 5.6782e-06 686 30. 0.038065 0.044 20.5734 26.2193 2 2458198.8927315 761120207 1 147.955248013485 25.9613742964635 6.33953635592444 1.72688499962392 29.6322674973939 47.8835165719061 0.623008597939554 1.03163875249062 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 1 761 2 3 ZTF_r 444399530715 0 1.5793 141.945 5.76309 26.225 3.4791e-06 0.0199885 0.0872607 6.14959e-06 686 30. 0.045452 0.045122 20.6927 26.225 2 2458198.899537 761120207 1 121.296709805879 22.8524638327396 5.90433229486112 2.15527360514595 -78.5063789508883 43.4356948969476 -1.8195892598816 1.02950812026624 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 2 761 2 3 ZTF_r 444428480715 0 1.6087 143.004 5.6079 26.2318 3.1926e-06 0.019192 0.0890158 5.6545e-06 685 30. 0.041703 0.043156 20.726 26.2318 2 2458198.9284838 761120207 1 26.6020330510618 22.2324262920067 1.33101444470817 2.1815424390811 -67.3247911027035 42.6220485463226 -1.59021515286021 1.03082993282252 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 3 761 2 3 ZTF_r 444451300715 0 1.5821 142.806 5.66716 26.2331 4.7627e-06 0.0233363 0.0883899 8.45075e-06 682 30. 0.041731 0.043401 20.7324 26.2331 2 2458198.9513079 761120207 1 76.2608413602887 21.7010204631815 3.90909510880478 3.18492636897889 6.58112877273351 41.0042153492607 0.161579803374581 1.02909974183751 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 4 761 2 3 ZTF_r 444475610715 0 1.6203 135.154 5.79594 26.157 4.3823e-06 0.0223968 0.0923337 7.75619e-06 683 30. 0.045755 0.046101 20.6562 26.157 2 2458198.9756134 761120207 1 55.3785248830987 22.6079602522238 2.7248010840728 2.31653756331245 -10.596903204543 43.7999449802832 -0.24356820452902 1.03088627925625 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 5 761 2 3 ZTF_r 444483370715 0 1.5496 137.629 5.69231 26.1783 3.7184e-06 0.0206691 0.0906008 6.59932e-06 684 30. 0.047772 0.045485 20.6884 26.1783 2 2458198.9833796 761120207 1 68.8049672884147 23.0654308949629 3.31827993952592 1.9554988281426 -98.4765763124967 44.7440862443814 -2.21570781842151 1.03023170022076 0.0840996868588726 17.1489995956421 0.0240000002086163 1.44799995422363 -0.0399999991059303 2458216.858206 2458219.913634 0
 6 761 2 3 ZTF_g 449383210715 0 2.4141 130.994 7.69472 26.24 8.1791e-06 0.0299833 -0.0579313 1.55583e-05 653 30. 0.051037 0.049384 20.1558 26.24 2 2458203.8832176 761120107 1 10.3499463661806 34.2869570707554 0.335787060524459 1.18040557349304 -56.1448118374984 57.3250169326232 -0.986008437501984 1.05487741350854 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 7 761 2 3 ZTF_g 449411780715 0 2.237 134.627 6.14555 26.2804 6.7791e-06 0.02778 -0.0563948 1.23757e-05 671 30. 0.044045 0.044705 20.5742 26.2804 2 2458203.9117824 761120107 1 -46.5219049872114 25.7097534510065 -2.01286375243183 1.09432196045616 48.5987219044383 45.4795312948496 1.07578147134794 1.04805038051382 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
 8 761 2 3 ZTF_g 450414400715 0 3.3453 137.813 8.22093 26.2989 1.47535e-05 0.0379363 -0.0760704 3.18465e-05 588 30. 0.072569 0.060484 19.7661 26.2989 2 2458204.9144097 761120107 1 20.9264944353032 50.9190726814282 0.457162708987275 0.984800657532283 69.9025744371037 72.7175026287747 0.967763877384985 1.0617986597716 0.0774317057481989 17.2229997634888 0.0120000001043081 0.418999999761581 -0.0160000007599592 2458203.883218 2458227.867118 0
