# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-02-28 at 13:36:12
#
# Requested input R.A. = 52.7423503 degrees
# Requested input Dec. = -28.6009369 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2461098.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1246 5 1 ZTF_g 630440481715 33554432 3.2407 233.381 28.8563 25.0811 0.00173356 0.12131 0.120806 0.00542305 72 30. 0.11364 0.078854 17.1954 25.0811 2 2458384.9404861 1246120117 1 -48.5363545062885 108.568011125869 -0.497301848011382 0.993558937497989 -22.8433402545396 155.673599846013 -0.147726984461023 1.06643481334036 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 1 1246 5 1 ZTF_r 1370433771715 0 1.8503 442.863 20.123 26.1315 2.80157e-05 0.040991 0.123473 4.06034e-05 381 30. 0.065565 0.077857 19.1216 26.1315 2 2459124.9337731 1246120217 1 -73.6557601927844 74.2430067589308 -1.10358544818408 1.08636580585408 148.076152768421 144.910548966253 1.02872741315458 1.03728839530769 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 2 1246 5 1 ZTF_r 1370434241715 0 1.8735 445.846 20.1981 26.1492 2.51692e-05 0.0383004 0.124818 3.59447e-05 378 30. 0.067835 0.080163 19.1513 26.1492 3 2459124.9342477 1246120217 1 -2.90595338406621 82.1695828969237 -0.039339819406899 1.01569189663727 -102.960806703362 161.768513360146 -0.640756668323851 1.03595257051317 0.102270211626296 20.7610000610352 0.0939999967813492 1.26400005817413 -0.129999995231628 2459168.809398 2459470.947268 0
 3 1246 5 1 ZTF_g 1375387241715 0 2.1497 462.442 11.4418 26.0063 3.33083e-05 0.0422667 -0.0209472 5.6891e-05 313 30. 0.066879 0.094754 19.6403 26.0063 2 2459129.8872454 1246120117 1 12.3678078980639 43.4702177013884 0.316486884307606 1.00875255900798 -42.02865688471 78.6773421309866 -0.537787896247186 1.04194606593232 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 4 1246 5 1 ZTF_g 1375387701715 0 2.1655 464.215 11.4396 26.0089 2.6245e-05 0.0372075 -0.0327418 4.58544e-05 306 30. 0.062136 0.084491 19.6215 26.0089 3 2459129.8877083 1246120117 1 -29.445405561034 46.9047162877065 -0.698322166851821 0.943372638980038 -51.9725374012187 85.4497682445304 -0.612319687996348 1.03904484236159 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 5 1246 5 1 ZTF_g 1376407101715 0 2.3994 494.197 9.41152 26.0944 2.23054e-05 0.0347609 -0.0659527 3.66753e-05 327 30. 0.063956 0.082173 19.7404 26.0944 2 2459130.9071065 1246120117 1 -7.6578520052269 45.6560572186229 -0.186579259987011 0.937740365195335 -68.3501285394846 78.7249414615271 -0.87406188318786 1.03987966046584 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 6 1246 5 1 ZTF_g 1376414591715 0 2.3682 497.238 9.45016 26.0939 2.79349e-05 0.0390882 -0.061466 4.57823e-05 328 30. 0.064618 0.083324 19.7499 26.0939 3 2459130.9145949 1246120117 1 51.8093103538243 42.8673632589275 1.3444227139287 0.966162068911912 98.3806153534486 74.6883685936931 1.32608619418335 1.03834999963627 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 7 1246 5 1 ZTF_g 1397331051715 0 3.4202 519.445 16.6757 26.1256 6.63756e-05 0.0436159 -0.0424245 0.000158768 171 30. 0.098468 0.125986 18.7994 26.1256 2 2459151.8310532 1246120117 1 18.1790348859207 102.468160730091 0.197349796691901 1.00459142457028 9.69271814893579 140.263629198662 0.0695689910427016 1.1003065348575 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
 8 1246 5 1 ZTF_g 1397331521715 0 3.5843 496.611 16.6405 26.1187 9.58775e-05 0.0495459 -0.0342691 0.000237145 158 30. 0.097666 0.130177 18.7488 26.1187 3 2459151.8315278 1246120117 1 18.7639003689298 114.862208108844 0.181719175852249 1.05465219666898 175.415662581044 153.008390898064 1.15416609588883 1.11602071575135 0.439615848178567 20.9589998245239 0.129999995231628 1.10099995136261 -0.28999999165535 2459129.887245 2459488.910856 0
