# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.1 on 2026-04-07 at 06:55:15
#
# Requested input R.A. = 53.3830486 degrees
# Requested input Dec. = -27.1545932 degrees
# Requested JD start = 2458216.1234 days
# Requested JD end = 2458450.0253 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 252 2 3 ZTF_r 609479810615 0 2.4007 318.891 9.53617 26.0678 2.55476e-05 0.0378691 0.104037 3.74884e-05 367 30. 0.061767 0.086098 19.6606 26.0678 1 2458363.9798148 252120206 1 -38.83744937108 44.845242 -0.963361 0.887174 49.80743108597 77.602760 0.646148 1.043923 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 0
 1 252 2 2 ZTF_r 609479810515 0 2.6663 327.309 9.65349 26.1017 1.64538e-05 0.0298003 0.102984 2.37806e-05 345 30. 0.055156 0.076387 19.6044 26.1017 1 2458363.9798148 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 57,61
 2 252 2 3 ZTF_g 609501640615 0 3.0543 165.283 10.1459 26.0259 5.59417e-05 0.0484115 -0.0370757 0.000112187 255 30. 0.079244 0.115126 19.3563 26.0259 1 2458364.0016435 252120106 1 90.77736221997 58.691631 1.720506 0.955508 11.22442882606 85.036674 0.132884 1.080547 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 0
 3 252 2 2 ZTF_g 609501640515 0 3.1835 190.151 10.1668 26.0463 3.76385e-05 0.0373728 -0.0199991 7.54613e-05 221 30. 0.062708 0.095928 19.3444 26.0463 1 2458364.0016435 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 57,61
 4 252 2 3 ZTF_r 612480960615 0 2.224 335.506 5.8416 26.1045 1.62118e-05 0.0300873 0.115939 2.38867e-05 362 30. 0.060719 0.101104 20.3353 26.1045 1 2458366.9809606 252120206 1 10.05909313672 26.883835 0.416220 0.912111 -43.38628785507 46.582546 -0.937658 1.053172 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 0
 5 252 2 2 ZTF_r 612480960515 0 2.0617 345.197 5.93421 26.1384 1.31326e-05 0.0262641 0.115084 1.88721e-05 345 30. 0.052459 0.081555 20.4483 26.1384 1 2458366.9809606 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 57,61
 6 252 2 3 ZTF_g 615458980615 0 2.5277 171.849 4.65344 26.038 1.85867e-05 0.0321724 -0.0229871 2.79797e-05 356 30. 0.068332 0.095187 20.4809 26.038 1 2458369.9589815 252120106 1 37.37663660563 21.273144 1.954445 0.923253 33.24766704952 34.766663 0.962750 1.057924 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 0
 7 252 2 2 ZTF_g 615458980515 0 2.4383 196.612 4.69883 26.0822 2.07614e-05 0.0334647 -0.0344324 3.05581e-05 343 30. 0.060657 0.083221 20.5201 26.0822 1 2458369.9589815 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 57,61
 8 252 2 3 ZTF_g 618459720615 0 2.5344 182.04 4.1907 26.128 1.41749e-05 0.0283999 -0.0644496 2.11231e-05 362 30. 0.058751 0.088745 20.6232 26.128 1 2458372.9597222 252120106 1 36.45978968821 18.503912 2.191823 0.919061 84.0395488036 30.480318 2.775744 1.049986 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 0
 9 252 2 2 ZTF_g 618459720515 0 2.6942 208.66 4.23832 26.1678 1.81287e-05 0.0308361 -0.0701676 2.59559e-05 344 30. 0.053024 0.072193 20.5995 26.1678 1 2458372.9597222 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 57,61
 10 252 2 2 ZTF_r 618500790515 0 2.5569 353.096 5.70349 26.1887 1.19694e-05 0.0248446 0.097167 1.71184e-05 344 30. 0.050774 0.060552 20.3167 26.1887 1 2458373.0007986 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 57,61
 11 252 2 3 ZTF_r 618500790615 0 2.2658 345.295 5.59231 26.1434 1.18771e-05 0.0259326 0.102016 1.7557e-05 364 30. 0.053459 0.072134 20.3943 26.1434 1 2458373.0007986 252120206 1 2.53182944199 23.434319 0.120181 0.913065 13.08371840378 41.592113 0.316691 1.043625 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 0
 12 252 2 3 ZTF_g 621459710615 0 2.5117 183.105 5.15978 26.1271 1.53417e-05 0.0292182 -0.053812 2.30794e-05 357 30. 0.059896 0.089915 20.4434 26.1271 1 2458375.9597106 252120106 1 -64.5839016267 23.519833 -3.054533 0.942899 -63.6671381614 39.495777 -1.622855 1.050188 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 0
 13 252 2 2 ZTF_g 621459710515 0 2.6432 210.769 5.23088 26.172 2.17997e-05 0.0341823 -0.0786914 3.19229e-05 342 30. 0.056902 0.082265 20.4032 26.172 1 2458375.9597106 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 57,61
 14 252 2 2 ZTF_r 621480810515 0 2.1197 352.906 7.08128 26.1661 1.15252e-05 0.0246863 0.109214 1.66657e-05 345 30. 0.047769 0.057352 20.2885 26.1661 1 2458375.9808102 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 57,61
 15 252 2 3 ZTF_r 621480810615 0 1.9258 344.665 6.97994 26.125 1.26932e-05 0.0267497 0.111293 1.87519e-05 365 30. 0.054415 0.065988 20.32 26.125 1 2458375.9808102 252120206 1 29.30668090336 24.864389 1.311124 1.021439 76.33261345658 46.157352 1.664886 1.046848 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 0
 16 252 2 3 ZTF_g 624460560615 0 2.5195 183.317 5.16349 26.1252 1.91358e-05 0.0328583 -0.0376107 2.85618e-05 360 30. 0.063418 0.083281 20.3965 26.1252 1 2458378.9605671 252120106 1 15.17431244505 23.651497 0.713683 1.008151 49.17364169399 38.074879 1.300197 1.065240 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 0
 17 252 2 2 ZTF_g 624460560515 0 2.6376 210.524 5.20935 26.1676 2.02729e-05 0.0329901 -0.0529835 2.96579e-05 342 30. 0.055584 0.079267 20.3963 26.1676 1 2458378.9605671 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 57,61
 18 252 2 2 ZTF_r 624501870515 0 2.4355 354.38 7.21963 26.1763 1.2725e-05 0.0259348 0.101166 1.83991e-05 344 30. 0.056846 0.073999 20.1019 26.1763 1 2458379.001875 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 57,61
 19 252 2 3 ZTF_r 624501870615 0 2.1132 342.67 7.13486 26.131 1.21044e-05 0.0259506 0.107025 1.78254e-05 363 30. 0.053891 0.07869 20.1881 26.131 1 2458379.001875 252120206 1 -23.07806207887 27.507195 -0.933271 1.007614 55.15113691973 50.078903 1.108702 1.047491 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 0
 20 252 2 2 ZTF_g 629438470515 0 2.6984 194.279 11.0555 26.1147 4.58566e-05 0.0458931 -0.0876338 9.06133e-05 254 30. 0.076993 0.07516 19.4797 26.1147 1 2458383.9384722 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 55,57
 21 252 2 3 ZTF_g 629438470615 0 2.6635 169.197 11.1604 26.0797 3.74824e-05 0.0415603 -0.0916511 7.03942e-05 289 30. 0.072956 0.083348 19.4467 26.0797 1 2458383.9384722 252120106 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 61
 22 252 2 3 ZTF_g 630440030615 2048 2.9353 73.4598 22.6357 24.8607 0.0215808 0.323652 0.141405 0.066596 53 30. 0.093549 0.098156 17.3124 24.8607 1 2458384.9400347 252120106 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 61
 23 252 2 2 ZTF_g 630440030515 2048 2.9155 90.5657 20.8807 25.2893 0.00371532 0.201436 -0.0665282 0.0103304 78 30. 0.091077 0.089054 17.8462 25.2893 1 2458384.9400347 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 55,57
 24 1246 9 4 ZTF_g 630440483515 33556480 3.1418 121.992 23.7906 25.1161 0.0116483 0.285047 -0.120659 0.0291305 61 30. 0.099827 0.0879 17.4655 25.1161 2 2458384.9404861 1246120135 1 -24.40490943595 112.469963 -0.241377 1.001510 93.41250242171 166.543137 0.564668 1.058402 0.13320619213471 19.5400001525879 0.0329999998211861 0.819999992847443 -0.0230000000447035 2459129.887245 2459520.869340 0
 25 252 2 3 ZTF_r 632417480615 0 2.1892 329.856 18.7073 26.104 2.52918e-05 0.0368982 0.0945254 3.68066e-05 361 30. 0.05786 0.072926 19.009 26.104 1 2458386.9174884 252120206 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 61
 26 252 2 2 ZTF_r 632417480515 0 2.3776 341.901 18.6463 26.1498 2.30105e-05 0.0350426 0.088056 3.3685e-05 335 30. 0.058029 0.070906 19.0075 26.1498 1 2458386.9174884 252120205 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458363.979815 2458448.772720 55,57
 27 252 2 2 ZTF_g 632477540515 0 2.4435 210.4 21.761 26.1676 4.0177e-05 0.0343687 -0.0433307 8.79436e-05 176 30. 0.055516 0.079305 18.8309 26.1676 1 2458386.9775463 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 55,57
 28 252 2 3 ZTF_g 632477540615 0 2.484 182.716 21.901 26.0818 5.4218e-05 0.0394138 -0.00496908 0.000126033 191 30. 0.060302 0.089328 18.7331 26.0818 1 2458386.9775463 252120106 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 61
 29 252 2 2 ZTF_g 635417670515 0 1.9087 199.522 15.6396 26.1238 3.23902e-05 0.0383729 -0.0252684 6.26563e-05 254 30. 0.055538 0.067054 19.3808 26.1238 1 2458389.9176736 252120105 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458364.001643 2458434.888519 55,57
 30 252 2 3 ZTF_g 635417670615 0 1.9323 173.444 15.7487 26.0806 3.56082e-05 0.0392044 -0.0355556 6.78822e-05 273 30. 0.059066 0.073211 19.327 26.0806 1 2458389.9176736 252120106 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.142592345098452 19.6689998626709 0.034000001847744 1.21099996566772 -0.0230000000447035 2458364.001643 2458434.888519 61
 31 252 2 3 ZTF_r 635480750615 0 2.0124 332.875 14.1427 26.0932 2.72503e-05 0.0389091 0.110165 3.99477e-05 365 30. 0.064729 0.079267 19.5099 26.0932 1 2458389.9807523 252120206 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.045018237201136 19.3279999732971 0.028999999165535 0.962000012397766 0.0469999983906746 2458363.979815 2458448.772720 61
