# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.1 on 2026-04-15 at 15:57:20
#
# Requested input R.A. = 143.825809 degrees
# Requested input Dec. = 2.07099 degrees
# Requested JD start = 2458216.1234 days
# Requested JD end = 2458450.0253 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 467 3 1 ZTF_r 463198830815 0 1.8232 221.262 8.40248 25.7871 1.59902e-05 0.0335981 0.0887571 2.2818e-05 535 30. 0.040296 0.040829 19.8588 25.7871 1 2458217.698831 467120208 1 16.00617163764 27.165983 0.655416 1.277337 14.63764660792 54.714172 0.269331 1.038239 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 1 467 3 1 ZTF_r 463215280815 0 1.8803 285.627 7.24194 26.0761 8.8017e-06 0.0249494 0.0934776 1.2588e-05 535 30. 0.041133 0.041872 20.2488 26.0761 1 2458217.7152894 467120208 1 95.56125444819 28.596287 3.717295 1.050662 116.75946329695 54.466564 2.158128 1.043529 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 2 467 3 1 ZTF_r 467202480815 0 2.9794 216.629 8.5598 25.7647 1.97995e-05 0.0373366 0.112367 2.80194e-05 536 30. 0.05158 0.052981 19.3393 25.7647 1 2458221.7024884 467120208 1 54.70356417963 51.428825 1.183215 0.977683 37.41580341131 76.136833 0.494738 1.120812 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 3 467 3 1 ZTF_r 470177000815 0 2.1694 113.67 9.35669 25.0644 3.53904e-05 0.0479102 0.122894 5.15826e-05 489 30. 0.046472 0.049036 18.7324 25.0644 1 2458224.6770023 467120208 1 33.74806825849 43.484798 0.863309 1.000778 131.54779503187 77.403404 1.710955 1.054748 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 4 467 3 1 ZTF_r 473166560815 0 2.2602 320.805 6.59608 26.1903 7.1109e-06 0.0225234 0.100944 1.00859e-05 544 30. 0.043749 0.042975 20.2781 26.1903 1 2458227.6665625 467120208 1 58.21624270819 30.994144 2.089389 1.062817 135.37166504731 53.666164 2.539466 1.060825 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 5 467 3 1 ZTF_r 477147670815 0 1.8899 322.935 11.8876 26.2116 9.8428e-06 0.026502 0.0892837 1.39e-05 544 30. 0.041362 0.047592 19.8785 26.2116 1 2458231.6476736 467120208 1 132.53662230977 39.272469 3.754071 1.290583 80.39890077752 77.123543 1.049490 1.035505 0.0706149903434026 17.3879999160767 0.0160000007599592 0.646000027656555 -0.0199999995529652 2458160.768148 2458447.954861 0
 6 467 3 1 ZTF_g 477190790815 0 2.311 191.9 10.4056 26.2908 1.93126e-05 0.035124 -0.0957504 3.11049e-05 478 30. 0.044601 0.047277 19.8586 26.2908 1 2458231.6907986 467120108 1 266.81516260708 45.867455 6.470840 0.940578 244.72593276256 81.556587 3.020899 1.035282 0.109254409865411 17.28899974823 0.0130000002682209 0.578000009059906 -0.0350000001490116 2458202.755590 2458464.966713 0
 7 467 3 1 ZTF_g 480228100815 0 2.5891 186.834 16.4949 26.2584 4.37182e-05 0.0460501 -0.0395609 8.82585e-05 361 30. 0.051165 0.065493 19.2967 26.2584 1 2458234.7281019 467120108 1 240.59329366284 78.805450 3.396112 1.007133 428.0475252895 128.822952 3.345137 1.059371 0.109254409865411 17.28899974823 0.0130000002682209 0.578000009059906 -0.0350000001490116 2458202.755590 2458464.966713 0
 8 467 3 1 ZTF_g 483208650815 0 2.6342 185.743 16.8809 26.2413 3.69767e-05 0.0406642 -0.035318 7.53154e-05 342 30. 0.049238 0.05532 19.2126 26.2413 1 2458237.7086574 467120108 1 80.44694375579 89.601860 0.998728 0.872662 73.60970341239 144.202866 0.513897 1.069907 0.109254409865411 17.28899974823 0.0130000002682209 0.578000009059906 -0.0350000001490116 2458202.755590 2458464.966713 0
