# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.1 on 2026-04-15 at 15:57:33
#
# Requested input R.A. = 152.664006 degrees
# Requested input Dec. = -12.737412 degrees
# Requested JD start = 2458216.1234 days
# Requested JD end = 2458450.0253 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 366 3 4 ZTF_r 464193371115 0 1.9764 349.076 7.5459 26.0943 4.8247e-06 0.0241094 0.0836535 7.65984e-06 806 30. 0.063993 0.058311 20.1541 26.0943 1 2458218.6933796 366120211 1 28.46883546954 28.245163 1.121193 1.096200 62.31496214467 53.874748 1.164454 1.033394 0.0721421123016636 19.4190000534058 0.0320000015199184 1.00999999046326 0.0419999994337559 2458182.827650 2458450.011227 0
 1 366 3 4 ZTF_r 464219951115 0 1.7777 340.595 7.63955 26.0508 4.1481e-06 0.0222697 0.0944891 6.59155e-06 804 30. 0.054992 0.050039 20.1135 26.0508 1 2458218.7199537 366120211 1 6.32168828962 29.626371 0.237361 1.008955 -29.08407806091 58.925278 -0.496900 1.033014 0.0721421123016636 19.4190000534058 0.0320000015199184 1.00999999046326 0.0419999994337559 2458182.827650 2458450.011227 0
 2 366 3 4 ZTF_r 469178511115 0 1.8852 358.834 7.06488 26.1132 3.613e-06 0.0208681 0.086675 5.75548e-06 805 30. 0.048529 0.046461 20.2839 26.1132 1 2458223.6785185 366120211 1 56.2793785813 26.512615 2.361302 0.974908 -12.51438589101 51.492912 -0.244668 1.031861 0.0721421123016636 19.4190000534058 0.0320000015199184 1.00999999046326 0.0419999994337559 2458182.827650 2458450.011227 0
 3 366 3 4 ZTF_g 475163731115 0 4.2556 221.984 7.0763 26.2488 2.43106e-05 0.0461352 -0.111865 5.20658e-05 603 30. 0.068393 0.073297 19.5867 26.2488 1 2458229.6637384 366120111 1 45.84769294456 48.028625 1.061872 1.039321 64.45305099326 60.899651 1.065476 1.099923 0.0552971701230176 19.7949997901916 0.0390000008046627 1.21200001239777 -0.0489999987185001 2458204.716435 2458450.982361 0
 4 366 3 4 ZTF_r 475188631115 0 2.8521 367.175 7.94313 26.1585 6.4376e-06 0.0277712 0.0718678 1.03336e-05 797 30. 0.060922 0.061827 19.78 26.1585 1 2458229.6886343 366120211 1 37.32774162733 43.722393 0.949692 0.950876 107.64835712125 70.265854 1.542333 1.046426 0.0721421123016636 19.4190000534058 0.0320000015199184 1.00999999046326 0.0419999994337559 2458182.827650 2458450.011227 0
 5 366 3 4 ZTF_g 478147851115 0 2.8947 64.6851 21.2026 24.9535 0.000246186 0.052474 -0.15166 0.000675048 125 30. 0.078454 0.069056 17.4633 24.9535 1 2458232.6478588 366120111 1 -40.98000952058 120.009460 -0.379849 0.901128 19.75391921753 186.920700 0.106393 1.044966 0.0552971701230176 19.7949997901916 0.0390000008046627 1.21200001239777 -0.0489999987185001 2458204.716435 2458450.982361 0
 6 366 3 4 ZTF_g 481168961115 0 2.5951 229.665 16.5697 26.262 1.89784e-05 0.0387968 -0.0611419 4.10798e-05 544 30. 0.054786 0.058098 19.1778 26.262 1 2458235.6689699 366120111 1 87.42346067178 85.528046 1.137036 0.955048 144.65081444226 139.993378 1.040228 1.049806 0.0552971701230176 19.7949997901916 0.0390000008046627 1.21200001239777 -0.0489999987185001 2458204.716435 2458450.982361 0
 7 366 3 4 ZTF_g 481190741115 0 2.3613 231.571 16.691 26.2457 1.61397e-05 0.0368116 -0.0455296 3.38837e-05 571 30. 0.055935 0.057963 19.2499 26.2457 1 2458235.6907407 366120111 1 54.47932240592 74.427429 0.814242 0.982880 120.29349936073 128.583908 0.941826 1.045447 0.0552971701230176 19.7949997901916 0.0390000008046627 1.21200001239777 -0.0489999987185001 2458204.716435 2458450.982361 0
 8 366 3 4 ZTF_g 484168211115 0 2.9801 220.499 17.8895 26.2182 2.65851e-05 0.0393861 -0.0663223 6.20218e-05 435 30. 0.059428 0.063153 18.9292 26.2182 1 2458238.6682176 366120111 1 -71.90537760388 105.528793 -0.757958 0.901059 -224.96435909817 158.248764 -1.431161 1.069732 0.0552971701230176 19.7949997901916 0.0390000008046627 1.21200001239777 -0.0489999987185001 2458204.716435 2458450.982361 0
