sindex,field,ccd,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,diffimgstatus,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,baseline,flux_corr,ref_flux,flux_total,mag,mag_unc
0,252,3,1,ZTF_r,609479810815,0,2.8511,321.347,9.60387,26.0918,2.96885e-05,0.0343906,0.0894726,4.01474e-05,291,30.0,0.059331,0.080648,19.5115,26.0918,1,2458363.9798148,252120208,1,-66.37514699711,45.908104,-1.608315,1.471649,-167.41200650416,73.305885,-2.299127,1.049992,0.0533031207284493,18.6779998779297,0.0189999993890524,0.768999993801117,0.0,2458363.979815,2458448.77272,0,,,0.0,,,
1,252,3,1,ZTF_g,609501640815,0,3.171,193.779,10.2762,26.0718,6.18858e-05,0.0432463,-0.0522892,0.000110962,198,30.0,0.055168,0.08649,19.3565,26.0718,1,2458364.0016435,252120108,1,43.8607642794,61.652988,0.791365,0.964723,30.04006046442,89.389206,0.338323,1.079464,0.0600085509780204,18.8079998016357,0.0160000007599592,0.711000025272369,0.0040000001899898,2458364.001643,2458434.888519,0,,,0.0,,,
2,252,3,1,ZTF_r,612480960815,0,2.1575,336.18,5.94092,26.1474,2.3461e-05,0.0299765,0.103175,3.20265e-05,287,30.0,0.05792,0.098299,20.3879,26.1474,1,2458366.9809606,252120208,1,-75.12299979492,25.252377,-3.309219,1.75927,-72.87803623294,45.592979,-1.609214,1.051257,0.0533031207284493,18.6779998779297,0.0189999993890524,0.768999993801117,0.0,2458363.979815,2458448.77272,0,,,0.0,,,
3,252,3,1,ZTF_g,615458980815,0,2.3793,200.112,4.70042,26.083,2.72112e-05,0.0324965,-0.0371356,3.76021e-05,287,30.0,0.056914,0.089508,20.5046,26.083,1,2458369.9589815,252120108,1,-41.86985048023,21.075357,-2.209944,1.47313,-28.82535259183,35.232086,-0.823667,1.064433,0.0600085509780204,18.8079998016357,0.0160000007599592,0.711000025272369,0.0040000001899898,2458364.001643,2458434.888519,0,,,0.0,,,
4,252,3,1,ZTF_g,618459720815,0,2.6877,212.57,4.2811,26.1689,2.32639e-05,0.0301056,-0.0763529,3.22587e-05,287,30.0,0.052909,0.078537,20.5711,26.1689,1,2458372.9597222,252120108,1,-39.60366038045,20.814779,-2.1165,1.344314,-54.79570080243,33.364697,-1.653387,1.061989,0.0600085509780204,18.8079998016357,0.0160000007599592,0.711000025272369,0.0040000001899898,2458364.001643,2458434.888519,0,,,0.0,,,
5,252,3,1,ZTF_r,618500790815,0,2.5431,345.23,5.64202,26.1707,1.63682e-05,0.025443,0.103286,2.25695e-05,291,30.0,0.051926,0.065857,20.3052,26.1707,1,2458373.0007986,252120208,1,-63.1267791331,28.071985,-2.50147,3.546683,-118.816364946,48.4692,-2.467889,1.050409,0.0533031207284493,18.6779998779297,0.0189999993890524,0.768999993801117,0.0,2458363.979815,2458448.77272,0,,,0.0,,,
6,252,3,1,ZTF_g,621459710815,0,2.7024,213.346,5.20311,26.1783,2.92329e-05,0.0341883,-0.0784652,4.06732e-05,287,30.0,0.056596,0.086222,20.3977,26.1783,1,2458375.9597106,252120108,1,-8.73455253666,24.438549,-0.397576,1.528433,41.51775056125,40.216137,1.039318,1.058019,0.0600085509780204,18.8079998016357,0.0160000007599592,0.711000025272369,0.0040000001899898,2458364.001643,2458434.888519,0,,,0.0,,,
7,252,3,1,ZTF_r,621480810815,0,2.2244,341.888,6.97065,26.1752,1.36644e-05,0.0229898,0.0995319,1.86253e-05,288,30.0,0.051892,0.065898,20.2319,26.1752,1,2458375.9808102,252120208,1,-23.38449937659,29.008028,-0.896736,1.852947,-52.87201096417,52.722973,-1.009581,1.049782,0.0533031207284493,18.6779998779297,0.0189999993890524,0.768999993801117,0.0,2458363.979815,2458448.77272,0,,,0.0,,,
8,252,3,1,ZTF_g,624460560815,0,2.6086,213.966,5.25649,26.1704,3.84163e-05,0.0388331,-0.0672554,5.32926e-05,288,30.0,0.059931,0.076409,20.3894,26.1704,1,2458378.9605671,252120108,1,-52.59360607615,24.988359,-2.341262,1.291358,-43.06261679826,40.557529,-1.068917,1.070874,0.0600085509780204,18.8079998016357,0.0160000007599592,0.711000025272369,0.0040000001899898,2458364.001643,2458434.888519,0,,,0.0,,,
9,252,3,1,ZTF_r,624501870815,0,2.5648,344.2,7.10194,26.1595,1.90555e-05,0.0272297,0.0974196,2.59751e-05,289,30.0,0.069466,0.084928,20.0135,26.1595,1,2458379.001875,252120208,1,-15.73337199938,35.778698,-0.489161,1.300807,24.1951741103,60.892056,0.400021,1.052878,0.0533031207284493,18.6779998779297,0.0189999993890524,0.768999993801117,0.0,2458363.979815,2458448.77272,0,,,0.0,,,
