oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,stellar,class_name,classifier_name,classfier_version,probability,ranking,matched_oids
170050543269445727,1,1,189.03405545025248,8.502744874604637,5.082429652247811e-06,4.864679340244038e-06,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin,,0.9908165,1,ZTF25aajvqcr
313980947939197053,1,1,151.38217711393798,1.3551872124385314,2.8389811049969505e-06,2.9807884756766253e-06,61053.24835733223,61095.16209735326,41.91374002103112,104,317,0,,AGN,stamp_classifier_rubin,,0.9895794,1,ZTF25accncco
170028500560904312,1,1,149.52569285815918,2.332618224455155,4.5645742701476735e-08,4.6477572363887694e-08,61090.1077735384,61099.315350998135,9.20757745973242,981,1021,0,,AGN,stamp_classifier_rubin,,0.9888782,1,ZTF25aaqiiwr
170028500601274484,1,1,150.08545719970664,1.0865486556177968,2.1102515118589985e-07,2.1107285456417077e-07,61090.1077735384,61099.31781569319,9.210042154787516,945,990,0,,AGN,stamp_classifier_rubin,,0.9883887,1,ZTF25aadwirt
170028526787362939,1,1,188.04676826602756,7.145375311646229,1.8969880811300607e-06,1.9332871478178605e-06,61090.24892803998,61098.236850402696,7.987922362714016,99,167,0,,AGN,stamp_classifier_rubin,,0.98791444,1,ZTF24aaiytvc
170028529201184903,1,1,187.28445713895152,6.807516105663442,4.1011145227841897e-07,4.208065628767109e-07,61090.2484597937,61098.24137255241,7.992912758709281,500,505,0,,AGN,stamp_classifier_rubin,,0.98707366,1,ZTF25aaqkvux
170028528011051109,1,1,188.2505004623441,7.174183838712545,1.6927179088802617e-06,1.7776969577780131e-06,61090.25309120117,61096.37702856063,6.123937359458068,32,33,0,,AGN,stamp_classifier_rubin,,0.9853893,1,ZTF19aarnjya
313853517960839281,1,1,150.16730673672026,2.7976522422626275,3.039781574386035e-07,3.200713945764427e-07,61024.24793685941,61099.314880045866,75.06694318645896,863,1019,0,,AGN,stamp_classifier_rubin,,0.9848625,1,ZTF25aadzhwj
170028526514733131,1,1,186.99582776636208,6.77865595970992,9.007526251612562e-07,9.472409912240596e-07,61090.247937232445,61098.239036417246,7.991099184800987,389,529,0,,AGN,stamp_classifier_rubin,,0.9842137,1,ZTF25aaqiujt
170028526517354588,1,1,187.41488101936733,6.9604568031486505,1.0429780178383422e-06,1.0838782442284185e-06,61090.247937232445,61098.239036417246,7.991099184800987,384,560,0,,AGN,stamp_classifier_rubin,,0.98294544,1,ZTF26aadnzgn
313871013105893607,1,1,149.1125310007589,2.4449454175310787,1.0086760570367966e-06,1.1113104222047676e-06,61028.31830778888,61098.27316592858,69.95485813969572,327,984,0,,AGN,stamp_classifier_rubin,,0.9827405,1,ZTF22aacqzpu
